rotation_deg,Fx,Fy,Fz,Tau_x,Tau_y,Tau_z,Torque_Mag
114,0.5282324881830424,-1.2126373705424178,-0.00018038142541670479,-0.46012239956168793,-0.14325264811465557,0.09541629991789777,0.4912618589513022
115,0.5491728645156051,-1.2023848892001785,-0.00011581968777767701,-0.4983962201901068,-0.1521073824242395,0.19415025013964896,0.5560843170932153
116,0.5699084310255552,-1.1917307243091146,-5.2978838380718723e-05,-0.535118768039392,-0.16154069607142918,0.2918422920303744,0.6305707064340849
117,0.5904318876251586,-1.1806824894718135,6.935267460951735e-06,-0.5698629756164464,-0.1714006285264323,0.38839646655800353,0.7106150868595663
118,0.6107356397243632,-1.1692444613142174,6.406814411519501e-05,-0.6029321475501739,-0.18148201953754123,0.4841342475751405,0.7942599496638595
119,0.6308133394103256,-1.15742556533825,0.00011733038375784702,-0.6340099471240865,-0.19179411579668176,0.5783253137698402,0.8793257442230963
120,0.6506573545696227,-1.1452291802884231,0.0001685648878806057,-0.6633722161836011,-0.20231079743323108,0.6711828285300763,0.9651314652813087
121,0.6702578929085873,-1.1326591459646493,0.0002177000967044454,-0.6911118202234693,-0.21302982894100375,0.7622620428360357,1.0507429171875473
122,0.6896094326524959,-1.1197197430582626,0.00026500035315660595,-0.7175306856958185,-0.22391884745416177,0.8524360175309176,1.136502133365478
123,0.7087086182469992,-1.1064234777180901,0.0003100872367983011,-0.7423220114045244,-0.2350621971538969,0.9420294810648439,1.2221766436738084
124,0.7275499806470784,-1.0927767758998692,0.00035325070217954026,-0.7655795236773846,-0.24620485223636165,1.0309790510173507,1.3075345654993051
125,0.7461273238565101,-1.078785999305385,0.00039495128592903267,-0.7875714097738696,-0.25745481384848606,1.1194641692979634,1.3927497022110393
126,0.7644389663111859,-1.064463056531692,0.00043595039049518783,-0.808507510276201,-0.26885278072363195,1.2077864720405935,1.4780779322891313
127,0.7824818030150735,-1.0498190695442795,0.0004743778589529864,-0.8281448795547187,-0.28046011772191026,1.2956192382909073,1.563045434334779
128,0.8002514898862411,-1.0348582736323848,0.0005114417562312125,-0.8467886894586303,-0.29222948089941364,1.3837088529940542,1.64836262513924
129,0.8177496754210795,-1.0195894169285447,0.0005449327324720992,-0.8635713299405208,-0.30401140410494887,1.4739319051946376,1.7351235220789891
130,0.834972151152509,-1.0040220469410188,0.0005763951675996383,-0.8787381679716746,-0.315610288440683,1.565221049743053,1.8225552273054912
131,0.8519161388859284,-0.9881684660786327,0.0006066766736242324,-0.8925015894530441,-0.3272822926697183,1.6566371498958845,1.9100050870839367
132,0.8685865127580952,-0.9720417218763324,0.0006362151164326929,-0.9050458287628805,-0.3388019688685009,1.749334041811677,1.9985155281136646
133,0.8849814587822074,-0.9556541902758041,0.0006635031471471204,-0.9160830644687739,-0.35016452456909447,1.842049352080642,2.0868562937523785
134,0.9010992051791725,-0.939013119715484,0.0006860475417748964,-0.9250919777005938,-0.3611792701959048,1.9344683292672695,2.174491515127926
135,0.9169384365247497,-0.9221259258557175,0.00070410831371765,-0.9320778692934845,-0.3716861352495633,2.026298679428306,2.2611514933361576
136,0.932501830168176,-0.905000855732844,0.0007169565715218439,-0.9371542450575103,-0.38142534690970453,2.11803121189439,2.347296229463448
